file,name,number,MST,time,rep,order,alanine.2tms,Glycine.2tms,X2.aminobutyric.acid.2tms,valine.2tms,leucine.2tms,isoleucine.2tms,Threonine.2tms,Proline.2tms,aspartic.acid.2tms,Glutamine..pyroglutamic.acid.2tms.,Methionine.2tms,serine.3tms,Threonine.3tms,Phenylalanine.2tms,aspartic.acid.3tms,glutamic.acid.3tms,lysine.3tms,arginine.3tms.,histidine.3tms,tyrosine.3tms
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__037,39-Synechocystis_6803-cell-630p-3,39,630p,11.5,3,37,1242415827,728381256.6,5629181.416,835490601.8,866019637.2,622037367.3,23901464.6,333633460.2,35619787.61,208663973.5,187737800.9,839488115,395244376.1,658159216.8,1469044788,1281483978,733889579.6,387260632.7,334982181.4,679361690.3
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__042,40-Synechocystis_6803-cell-7p-1,40,7p,12,1,42,1039157895,592065707.6,4857332.13,706481108.3,709950259.9,509451953.1,15535267.15,278722465.7,33091158.84,153424447.7,707385288.8,391417018.1,543067924.2,1220100744,1070285949,586784436.8,316769942.2,278352436.8,564301292.4,35344494.58
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__007,41-Synechocystis_6803-cell-7p-2,41,7p,12,2,7,1144086343,581602457.6,14690851.69,678135000,738310008.5,486678360.2,22921419.49,274493809.3,33325991.53,141365084.7,79576597.46,677419466.1,221512817.8,547358004.2,1227649000,1106843678,583714444.9,311547881.4,275732792.4,555179135.6
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__031,42-Synechocystis_6803-cell-7p-3,42,7p,12,3,31,1047394184,554252643.4,15831676.23,606652409.8,628643713.1,417199979.5,21531372.95,242852815.6,23070651.64,64960500,85203778.69,569462000,219269057.4,468828885.2,1066032352,970588590.2,492529262.3,252355172.1,232926577.9,498744832
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__002,43-Synechocystis_6803-cell-730p-1,43,730p,12.5,1,2,1073116695,544582979.1,14828828.45,630766255.2,692599594.1,450422636,27021326.36,255193481.2,25901820.08,54111435.15,79430661.09,148737535.6,160873585.8,502986715.5,1141519063,1019925703,536923535.6,295043895.4,251597920.5,522065142.3
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__076,44-Synechocystis_6803-cell-730p-2,44,730p,12.5,2,76,1127126379,621257540.2,6147318.008,741768685.8,756540988.5,540067383.1,14645624.52,307440613,38789697.32,191880164.8,120300785.4,759095946.4,499828773.9,581851003.8,1314898169,1155332670,654362605.4,309324992.3,290216318,568726279.7
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__048,45-Synechocystis_6803-cell-730p-3,45,730p,12.5,3,48,1258384490,621242753.1,21432522.63,800917378.6,758750086.4,575838407.4,13924617.28,309821732.5,32016074.07,347796950.6,120731510.3,541945872.4,325108049.4,611751284,1274625502,940842185.2,660534987.7,309190148.1,289655580.2,575601642
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__052,46-Synechocystis_6803-cell-8p-1,46,8p,13,1,52,1088498657,387381585.9,67281585.86,557276026.9,620679771,121099437.7,8161491.582,269506596,15316377.1,594944387.2,121106175.1,100080723.9,150178111.1,421859562.3,788971316.5,456428030.3,438888454.5,241608686.9,180551831.6,427956084.2
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__077,47-Synechocystis_6803-cell-8p-2,47,8p,13,2,77,1155313705,517105366.5,28827059.76,687818924.3,669304976.1,483810533.9,8369601.594,276038581.7,30362370.52,484776354.6,128113139.4,241857004,269696892.4,497872330.7,1035190932,715472099.6,536584928.3,257331394.4,228821302.8,481029442.2
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__075,48-Synechocystis_6803-cell-8p-3,48,8p,13,3,75,1234128564,512178284,63608703.7,707792119.3,726132382.7,514449230.5,6786345.679,304680683.1,23016539.09,621260135.8,108285827.2,156984172.8,232088119.3,531485037,957932312.8,653878802.5,576913411.5,263773625.5,228375567.9,493481448.6
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__005,49-Synechocystis_6803-cell-9p-1,49,9p,14,1,5,1225406302,487044240,52568128.89,647199448.9,677505022.2,449347302.2,11955626.67,270956577.8,22438257.78,482481413.3,111517168.9,172313760,99739022.22,464465217.8,935574782.2,623271244.4,503151720,286234613.3,212431222.2,457700760
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__024,50-Synechocystis_6803-cell-9p-2,50,9p,14,2,24,1583504735,705525122.4,64761596.94,979787892.9,1018489653,723610357.1,14822806.12,414006413.3,51213392.86,741849663.3,228961408.2,277469668.4,248648377.6,748635898,1449884827,974496209.2,800078668.4,434459729.6,350152178.6,805309295.9
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__074,51-Synechocystis_6803-cell-9p-3,51,9p,14,3,74,1215775854,331126648.1,132120596.6,439443888.4,563240467.8,294465158.8,7752017.167,263123017.2,9032811.159,721426888.4,79907656.65,34640549.36,87845927.04,318532540.8,337972922.7,160527630.9,375991218.9,175402017.2,112824171.7,368990223.2
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__053,52-Synechocystis_6803-cell-11p-1,52,11p,16,1,53,1138707352,201697652.8,82001638.89,371099245.4,451362731.5,232759944.4,11886171.3,249734699.1,6657254.63,662318828.7,64260800.93,72402875,40353439.81,239606527.8,87453041.67,37445828.7,302061092.6,155002222.2,104934120.4,345147287
